match_status,match_type,chords_page,chords_title,chords_file,melody_page,melody_title,melody_file
both,exact,58,BY_THE_RIVER_SAINTE_MARIE,58_01_BY_THE_RIVER_SAINTE_MARIE.png,107,BY_THE_RIVER_SAINTE_MARIE,107_02_BY_THE_RIVER_SAINTE_MARIE.png
both,exact,58,BY_THE_WATERS_OF_MINNETONKA,58_02_BY_THE_WATERS_OF_MINNETONKA.png,109,BY_THE_WATERS_OF_MINNETONKA,109_01_BY_THE_WATERS_OF_MINNETONKA.png
both,exact,59,CAKEWALKING_BABIES_FROM_HOME,59_01_CAKEWALKING_BABIES_FROM_HOME.png,112,CAKEWALKING_BABIES_FROM_HOME,112_01_CAKEWALKING_BABIES_FROM_HOME.png
both,exact,59,CALDONIA,59_02_CALDONIA.png,113,CALDONIA,113_01_CALDONIA.png
both,exact,59,CALIFORNIA_HERE_I_COME,59_03_CALIFORNIA_HERE_I_COME.png,113,CALIFORNIA_HERE_I_COME,113_02_CALIFORNIA_HERE_I_COME.png
both,exact,59,CALL_ME_DARLING,59_04_CALL_ME_DARLING.png,114,CALL_ME_DARLING,114_01_CALL_ME_DARLING.png
both,exact,60,CALL_ME_IRRESPONSIBLE,60_01_CALL_ME_IRRESPONSIBLE.png,114,CALL_ME_IRRESPONSIBLE,114_02_CALL_ME_IRRESPONSIBLE.png
both,exact,60,CALL_OF_THE_FREAKS,60_02_CALL_OF_THE_FREAKS.png,115,CALL_OF_THE_FREAKS,115_01_CALL_OF_THE_FREAKS.png
both,exact,60,CAMP_MEETING_BLUES,60_03_CAMP_MEETING_BLUES.png,115,CAMP_MEETING_BLUES,115_02_CAMP_MEETING_BLUES.png
both,exact,60,CANAL_STREET_BLUES,60_04_CANAL_STREET_BLUES.png,118,CANAL_STREET_BLUES,118_01_CANAL_STREET_BLUES.png
both,exact,61,CANADIAN_CAPERS,61_01_CANADIAN_CAPERS.png,116,CANADIAN_CAPERS,116_01_CANADIAN_CAPERS.png
both,exact,62,CANADIAN_SUNSET,62_01_CANADIAN_SUNSET.png,117,CANADIAN_SUNSET,117_01_CANADIAN_SUNSET.png
both,exact,62,CANDY_LIPS,62_02_CANDY_LIPS.png,119,CANDY_LIPS,119_01_CANDY_LIPS.png
both,exact,62,CAN_T_HELP_LOVIN_DAT_MAN,62_03_CAN_T_HELP_LOVIN_DAT_MAN.png,121,CANT_HELP_LOVIN_DAT_MAN,121_01_CANT_HELP_LOVIN_DAT_MAN.png
both,exact,63,CANNONBALL_BLUES,63_01_CANNONBALL_BLUES.png,120,CANNONBALL_BLUES,120_01_CANNONBALL_BLUES.png
both,exact,63,CAN_T_WE_BE_FRIENDS,63_02_CAN_T_WE_BE_FRIENDS.png,121,CANT_WE_BE_FRIENDS,121_02_CANT_WE_BE_FRIENDS.png
both,exact,63,CARELESS_LOVE,63_03_CARELESS_LOVE.png,123,CARELESS_LOVE,123_01_CARELESS_LOVE.png
both,exact,64,CARAVAN,64_01_CARAVAN.png,122,CARAVAN,122_01_CARAVAN.png
both,exact,64,CARIOCA,64_02_CARIOCA.png,125,CARIOCA,125_01_CARIOCA.png
both,exact,64,CAROLINA_IN_THE_MORNING,64_03_CAROLINA_IN_THE_MORNING.png,123,CAROLINA_IN_THE_MORNING,123_02_CAROLINA_IN_THE_MORNING.png
